query,mode,total_weight,growbuffer_stack_percent,register_update_stack_percent,selective_claim_stack_percent,metrics_trace_stack_percent,static_getbuffer_stack_percent,mutex_stack_percent,unknown_stack_percent
q26,static-locked,223032572612,0.0,0.0,0.0,0.0,0.0,0.10239642502680454,94.79954831881092
q26,static-lockfree,222211205643,0.0,0.0,0.0,0.0,0.011975888849977225,0.2985894226531331,95.30926632307377
q27,dynamic,176769996468,1.4975426135052357,1.5338997104584136,0.0,0.0,0.0,0.16048059776442536,95.1118760753247
q27,legacy,178856355519,0.0,0.0,0.0,0.0,0.0,0.21747208751476563,94.78117048012396
q27,selective-4,180133531299,1.111130684868282,1.111130684868282,0.0,0.0,0.0,0.4590094831525629,94.73266992015458
q27,selective-all,181910464958,1.5319892264820694,1.5692470131716083,0.014763967540955308,0.03155640881532225,0.0,0.47457304020377317,94.9287054710514
q27,selective-base,183244689020,1.0256789012831167,1.0507773984051698,0.0875538624655524,0.04273867822245711,0.0,0.5128767376703751,94.88964133853946
q27,selective-gate-cost,179656008915,1.7787322897237032,1.8566419654675428,0.04611430950756407,0.022624659896141274,0.0,0.48330698775058,94.92475318356095
q27,selective-gate,180065812195,1.5587311565620654,1.5765898159088911,0.05016040241008505,0.03362708793073234,0.0,0.558683693332395,95.5269606901961
q27,static-locked,242155245519,0.0,0.0,0.0,0.0,0.046270156469193094,0.23861837259051344,95.38914731577684
q27,static-lockfree,237058501114,0.0,0.0,0.0,0.0,0.02047534333166905,0.28504907135772534,95.59320495830848
q28,dynamic,288799612345,8.47186252756187,8.536372936176075,0.0,0.0,0.0,0.00010322382276742041,89.15332671687281
q28,legacy,350556134156,0.0,0.0,0.0,0.0,0.0,0.018385725058035433,90.8142420467045
q28,selective-4,292595502284,5.061334585938306,5.07753942662447,0.009696945707819074,0.0,0.0,0.199078589196705,88.92772775483242
q28,selective-all,281033010415,7.701508998547443,7.752736293799132,0.01767834352506664,0.0,0.0,0.19244210785109025,88.81114101273504
q28,selective-base,299285681470,4.912749319908184,4.921183325797147,0.044610442552489145,0.004331495224337837,0.0,0.10776684284254008,89.5779059697092
q28,selective-gate-cost,286856516439,6.31105306016283,6.372791670182401,0.04368204967260907,0.022348508514232267,0.0,0.13451598443365143,88.07893947520908
q28,selective-gate,289137219153,5.911525561832067,5.936220161928577,0.029638385279846406,0.038622165740934265,0.0,0.12303754080575582,89.02617027446402
q28,static-locked,362342517949,0.0,0.0,0.0,0.0,0.04551313876535232,0.002052479527408584,91.57040581080824
q28,static-lockfree,360966264945,0.0,0.0,0.0,0.0,0.03368642801524058,0.01147806928891622,91.5754063627986
q29,dynamic,5884825389976,0.14948312772345274,0.15366113047980984,0.0,0.0,0.0,0.0769718910728543,86.71129384531851
q29,legacy,5816594975633,0.0,0.0,0.0,0.0,0.0,0.05874337380054822,87.56041479007644
q29,selective-4,5912831644483,0.12186096004818722,0.12499855058271733,0.0,0.0,0.0,0.13294525000275612,86.56190478268768
q29,selective-all,5817259048855,0.1466376338987173,0.1504906217082273,0.0019208503706224624,0.0009860999917356414,0.0,0.10392163704983884,87.58524878265222
q29,selective-base,5898486760797,0.11941631444889862,0.12247028973620874,0.0009348142707800115,0.0014020186592539866,0.0,0.09259589281950022,86.41126424459928
q29,selective-gate-cost,5895714613313,0.1527275519691435,0.15448364896146077,0.0009385808443822354,0.0013952950472576194,0.0,0.1191525866794369,86.53909604199718
q29,selective-gate,5816182739282,0.14125006271749596,0.14448528285129852,0.002781009989723391,0.0022784969788683016,0.0,0.015405202091545861,87.00238102721093
q29,static-locked,5839485383555,0.0,0.0,0.0,0.0,0.0008251044199149538,0.012440587316921018,87.96010248254133
q29,static-lockfree,5959484496453,0.0,0.0,0.0,0.0,0.0009116850128956199,0.05562810333633939,86.55897607588788
q30,dynamic,56533891267,0.0,0.0,0.0,0.0,0.0,0.01763839844829622,67.6265862214172
q30,legacy,57143266388,0.0,0.0,0.0,0.0,0.0,0.08035364427407397,64.65005484838369
q30,selective-4,58436662371,0.0,0.0,0.0,0.0,0.0,0.7990738657102556,65.14108157363025
q30,selective-all,60485342788,0.0,0.0,0.07249722987219255,0.14193624280332648,0.0,1.2988738242810536,68.28488809390394
q30,selective-base,61321332558,0.0,0.0,0.15378835401334887,0.1275601160917616,0.0,0.9516865447240922,67.88359874539177
q30,selective-gate-cost,61547270481,0.0,0.0,0.17199174418738591,0.15635873247979074,0.0,1.1687079254344097,69.75376146738013
q30,selective-gate,60218125260,0.0,0.0,0.08516651884887988,0.12732870820694825,0.0,1.8235592245005072,66.94567883663139
q30,static-locked,120054784723,0.0,0.0,0.0,0.0,0.0,0.0038165026163444566,83.97479893167956
q30,static-lockfree,116875241648,0.0,0.0,0.0,0.0,0.01109141407300083,0.04535050045897125,83.54661407767102
q31,dynamic,332394399124,0.7861368458333109,0.8146985355760383,0.0,0.0,0.0,0.12829171854996216,83.40396611543959
q31,legacy,346528433859,0.0,0.0,0.0,0.0,0.0,0.0491485631073205,82.43758580522054
q31,selective-4,338300975092,0.7878673090655923,0.795884098255344,0.0,0.0,0.0,0.2726444781157273,83.41778683855571
q31,selective-all,333354360320,0.6065659699363131,0.6065659699363131,0.02087810728894923,0.01107190257375662,0.0,0.22567086816499213,83.44623046777372
q31,selective-base,338166928655,0.5769291810289366,0.5769291810289366,0.005221834397063507,0.004153737048110459,0.0,0.2244303785170799,83.07002084896112
q31,selective-gate-cost,331792237464,0.6839910024254973,0.7154228914886992,0.019699456051045137,0.01031930833032673,0.0,0.19511041847995006,83.4339474111525
