query,mode,repeats,transfers,executed_bytes_cv,executed_files_cv,executed_bytes_max_min,peak_buffer_cv,queue_wait_p50_ms,queue_wait_p95_ms,queue_wait_max_ms,enqueue_demand_p50_mib,enqueue_demand_p95_mib,max_total_queue_mib,max_total_queue_depth,adaptive_limit_changes
q22,selective-gate,3,545.0,0.48513650474108644,0.3601787038824877,6.415171541951386,0.19380875864260366,12.631428,117.66116734999993,406.791292,36.03515625,71.33203125,1111.3125,17.0,0.0
q22,selective-gate-cost,3,490.0,0.4291780847292933,0.32756136486757137,5.460119520998379,0.20360262567787843,14.7164795,129.79580464999992,346.171644,36.69921875,71.33203125,856.921875,14.0,0.0
q23,selective-all,3,555.0,0.15772562910910326,0.16062336605443261,2.1234900976652207,0.09530212483123077,25.926675,175.17066279999986,546.434468,43.58984375,78.625,949.71875,19.0,322.0
q23,selective-base,3,1419.0,0.23984418200195426,0.18972877820020806,3.010459070263477,0.12770648306422472,18.748936,133.45652189999976,580.243127,37.10546875,77.9765625,1349.8671875,30.0,0.0
q23,selective-gate,3,768.0,0.327801358533907,0.2539705447441814,3.909833354218214,0.12622966776475206,19.912615,144.54000674999997,455.299498,45.7734375,78.625,1262.3359375,25.0,0.0
q23,selective-gate-cost,3,752.0,0.2152209352506597,0.19306756705676575,2.981445431985669,0.13812075453925182,26.886399,178.13364994999992,438.931863,48.39453125,78.57421875,1032.87109375,21.0,0.0
q24,selective-all,3,382.0,0.035175779018586865,0.03814548629916782,1.2320361157413418,0.11057243349585552,104.276335,507.8182278,866.343271,149.16796875,258.578125,3085.078125,15.0,332.0
q24,selective-base,3,2371.0,0.0522727902040445,0.06023736414437886,1.1902187847792216,0.09866660962870558,105.821151,468.975679,1137.360961,116.453125,188.84375,4946.9296875,38.0,0.0
q24,selective-gate,3,407.0,0.03961606826776014,0.031127690333025832,1.1969120206123884,0.09331442463892248,108.596984,544.7112291,1307.724701,148.65234375,258.578125,3365.39453125,14.0,0.0
q24,selective-gate-cost,3,413.0,0.03573746310367204,0.038610668103598644,1.1857363025414422,0.09915990379685097,105.647937,585.2593997999996,1211.738169,148.34765625,258.491015625,2834.77734375,14.0,0.0
q25,selective-all,3,0.0,0.0945399373885883,0.09028424622927024,1.5718849367743843,0.0262974072367868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
q25,selective-base,3,576.0,0.11896107095100608,0.07679929898259977,1.7689423940017952,0.05718247410251121,5.5479,27.57746625,76.060252,4.88671875,6.83984375,109.671875,28.0,0.0
q25,selective-gate,3,0.0,0.09795420446965071,0.09646144084717219,1.5765433413454224,0.031975259333628624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q25,selective-gate-cost,3,0.0,0.08864392314520327,0.08898193999082764,1.554383549003045,0.03323522622164283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q26,selective-all,3,1.0,0.11559317293127915,0.1122732632665999,1.740602850490008,0.03887950211367128,5.578072,5.578072,5.578072,4.859375,4.859375,4.91796875,1.0,108.0
q26,selective-base,3,658.0,0.16585735579960087,0.0792920642013594,2.0799501561466394,0.08856864917384098,5.7753755,29.058585899999994,74.883067,3.701171875,5.64453125,121.0859375,31.0,0.0
q26,selective-gate,3,0.0,0.11817006222256317,0.11238329450061739,1.7504800938277334,0.03940724551036133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q26,selective-gate-cost,3,1.0,0.1417601970597131,0.1287759758383721,1.7833475275456432,0.03844831762177887,5.0013865,7.49966995,7.518423,4.9921875,4.9921875,4.9921875,1.0,0.0
q27,selective-all,3,0.0,0.08049184801135549,0.08270556185008054,1.545409220510104,0.030976449744638323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0
q27,selective-base,3,545.0,0.10706423714728357,0.0685009694274468,1.5950563084558123,0.05668420491800099,6.5536955,37.40907619999998,81.086788,5.609375,6.83984375,116.90234375,35.0,0.0
q27,selective-gate,3,4.0,0.108360865709086,0.10454602147125805,1.6561261347068261,0.03479158208400623,5.588339,12.791700599999995,15.537403,6.19140625,6.19140625,18.57421875,3.0,0.0
